x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.019367, -0.019367, 0.00871935, -0.0148254, -0.0148247, -0.207992, 0.209046, 9.6577, 1497.19, 0
-0.0193835, -0.0193835, 0.00977076, -0.0146552, -0.0146544, -0.207953, 0.208983, 9.65757, 1496.96, 0
-0.0193895, -0.0193895, 0.0107876, -0.014494, -0.0144932, -0.207892, 0.2089, 9.65586, 1496.69, 0
-0.0193973, -0.0193973, 0.0117969, -0.0143611, -0.0143603, -0.207799, 0.208789, 9.65421, 1496.37, 0
-0.0194067, -0.0194067, 0.0128072, -0.0142735, -0.0142725, -0.207658, 0.208637, 9.65468, 1496, 0
-0.0194166, -0.0194165, 0.01382, -0.0142385, -0.0142372, -0.20745, 0.208425, 9.66055, 1495.61, 0
-0.0194262, -0.0194262, 0.0148352, -0.0142554, -0.0142538, -0.207158, 0.208137, 9.67205, 1495.21, 0
-0.0194354, -0.0194354, 0.0158523, -0.0143155, -0.0143135, -0.206769, 0.207757, 9.69135, 1494.83, 0
-0.0194426, -0.0194426, 0.0168711, -0.0144072, -0.0144048, -0.206276, 0.207279, 9.71561, 1494.48, 0
-0.0194485, -0.0194485, 0.0178908, -0.0145144, -0.0145114, -0.205678, 0.2067, 9.74625, 1494.19, 0
-0.0194518, -0.0194518, 0.0189111, -0.0146228, -0.0146193, -0.204982, 0.206022, 9.78111, 1493.97, 0
-0.0194541, -0.0194541, 0.0199314, -0.014717, -0.0147132, -0.204197, 0.205255, 9.81826, 1493.84, 0
-0.0194538, -0.0194538, 0.0209513, -0.0147873, -0.0147833, -0.203338, 0.20441, 9.85595, 1493.82, 0
-0.0194527, -0.0194526, 0.0219705, -0.0148227, -0.0148188, -0.202423, 0.203506, 9.89256, 1493.91, 0
-0.0194501, -0.01945, 0.022989, -0.0148181, -0.0148148, -0.20147, 0.202557, 9.92725, 1494.13, 0
-0.019446, -0.0194459, 0.0240066, -0.0147703, -0.0147681, -0.200496, 0.201581, 9.95833, 1494.48, 0
-0.0194415, -0.0194414, 0.0250234, -0.0146781, -0.0146777, -0.199518, 0.200595, 9.98583, 1494.95, 0
-0.0194357, -0.0194356, 0.0260392, -0.0145424, -0.0145445, -0.198552, 0.199614, 10.0088, 1495.55, 0
